TITLE,ZnO_B19_szklo_4
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,FCBiR
DATE,22/10/11
TIME,12:10:50
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-1
XUNITS,NANOMETERS
YUNITS,REFLECTANCE
FIRSTX, 1200.0000
LASTX,  300.0000
NPOINTS,     901
FIRSTY,     0.33382
MAXY,     0.84990
MINY,     0.22884
XYDATA
1200.0000,0.333817
1199.0000,0.334121
1198.0000,0.336783
1197.0000,0.337534
1196.0000,0.337509
1195.0000,0.334005
1194.0000,0.337345
1193.0000,0.34
1192.0000,0.334364
1191.0000,0.337533
1190.0000,0.33276
1189.0000,0.33425
1188.0000,0.340014
1187.0000,0.341553
1186.0000,0.329561
1185.0000,0.332146
1184.0000,0.341513
1183.0000,0.338525
1182.0000,0.337432
1181.0000,0.336205
1180.0000,0.340861
1179.0000,0.342643
1178.0000,0.340303
1177.0000,0.338177
1176.0000,0.334527
1175.0000,0.343304
1174.0000,0.334352
1173.0000,0.337411
1172.0000,0.341508
1171.0000,0.340674
1170.0000,0.340332
1169.0000,0.334905
1168.0000,0.341597
1167.0000,0.336764
1166.0000,0.338958
1165.0000,0.334995
1164.0000,0.338644
1163.0000,0.343145
1162.0000,0.348125
1161.0000,0.347918
1160.0000,0.338255
1159.0000,0.341663
1158.0000,0.33975
1157.0000,0.340802
1156.0000,0.345568
1155.0000,0.341484
1154.0000,0.347804
1153.0000,0.341847
1152.0000,0.338329
1151.0000,0.346389
1150.0000,0.340713
1149.0000,0.341505
1148.0000,0.343747
1147.0000,0.348661
1146.0000,0.342725
1145.0000,0.344359
1144.0000,0.348785
1143.0000,0.34808
1142.0000,0.345726
1141.0000,0.352243
1140.0000,0.349486
1139.0000,0.349247
1138.0000,0.347035
1137.0000,0.340971
1136.0000,0.346426
1135.0000,0.35085
1134.0000,0.3479
1133.0000,0.347623
1132.0000,0.345411
1131.0000,0.350084
1130.0000,0.344892
1129.0000,0.345626
1128.0000,0.343873
1127.0000,0.342437
1126.0000,0.349542
1125.0000,0.345278
1124.0000,0.341039
1123.0000,0.350804
1122.0000,0.341542
1121.0000,0.349071
1120.0000,0.34782
1119.0000,0.354873
1118.0000,0.34761
1117.0000,0.345037
1116.0000,0.351434
1115.0000,0.345519
1114.0000,0.347897
1113.0000,0.349706
1112.0000,0.351856
1111.0000,0.347512
1110.0000,0.350353
1109.0000,0.354663
1108.0000,0.353738
1107.0000,0.351198
1106.0000,0.353494
1105.0000,0.352354
1104.0000,0.350071
1103.0000,0.348947
1102.0000,0.352328
1101.0000,0.34993
1100.0000,0.356226
1099.0000,0.350937
1098.0000,0.35245
1097.0000,0.353944
1096.0000,0.350174
1095.0000,0.349207
1094.0000,0.351147
1093.0000,0.356796
1092.0000,0.3568
